step,loss,lr,tokens_per_sec
41900,1.150672,0.00029999,193091.70
42000,1.164577,0.00029999,193107.26
42100,1.118884,0.00029999,193129.43
42200,1.130093,0.00029999,193144.96
42300,1.132011,0.00029999,193166.94
42400,1.130202,0.00029999,193188.91
42500,1.136408,0.00029999,193218.11
42600,1.120700,0.00029999,193248.61
42700,1.097424,0.00029999,193277.16
42800,1.103132,0.00029999,193305.40
42900,1.078395,0.00029999,193342.26
43000,1.129360,0.00029999,193372.29
43100,1.106551,0.00029999,193402.38
43200,1.123298,0.00029999,193429.34
43300,1.127451,0.00029999,193458.09
43400,1.081901,0.00029999,193486.11
43500,1.087766,0.00029999,193508.96
43600,1.142669,0.00029999,193526.75
43700,1.075930,0.00029999,193554.96
43800,1.118060,0.00029999,193580.96
43900,1.124419,0.00029999,193606.17
44000,1.163247,0.00029999,193632.40
44100,1.091527,0.00029999,193662.93
44200,1.060076,0.00029999,193689.99
44300,1.184769,0.00029999,193709.27
44400,1.135752,0.00029999,193726.12
44500,1.118470,0.00029999,193740.57
44600,1.104595,0.00029999,193759.26
44700,1.161884,0.00029999,193783.22
44800,1.159493,0.00029999,193811.87
44900,1.151038,0.00029999,193831.32
45000,1.143876,0.00029999,193856.28
45100,1.130732,0.00029999,193884.35
45200,1.145203,0.00029999,193911.46
45300,1.065827,0.00029999,193934.91
45400,1.112924,0.00029999,193958.50
45500,1.127201,0.00029999,193978.92
45600,1.108956,0.00029999,194001.13
45700,1.133507,0.00029999,194025.70
45800,1.089326,0.00029999,194049.56
45900,1.092353,0.00029999,194075.51
46000,1.084241,0.00029999,194091.80
46100,1.155292,0.00029999,194104.14
46200,1.046776,0.00029999,194119.45
46300,1.117336,0.00029999,194142.74
46400,1.085589,0.00029999,194163.67
46500,1.112477,0.00029999,194183.64
46600,1.115672,0.00029999,194204.47
46700,1.074635,0.00029999,194222.30
46800,1.092723,0.00029999,194244.38
46900,1.067771,0.00029999,194232.18
47000,1.112998,0.00029999,194241.58
47100,1.153435,0.00029998,194256.98
47200,1.094193,0.00029998,194270.29
47300,1.166510,0.00029998,194289.05
47400,1.163392,0.00029998,194312.30
47500,1.106789,0.00029998,194334.71
47600,1.136303,0.00029998,194350.97
47700,1.120655,0.00029998,194370.01
47800,1.117255,0.00029998,194388.35
47900,1.115126,0.00029998,194410.99
48000,1.115106,0.00029998,194427.86
48100,1.118579,0.00029998,194439.72
48200,1.078901,0.00029998,194455.06
48300,1.143062,0.00029998,194475.02
48400,1.078844,0.00029998,194489.90
48500,1.078904,0.00029998,194498.89
48600,1.127593,0.00029998,194510.67
48700,1.084958,0.00029998,194534.59
48800,1.080524,0.00029998,194557.87
48900,1.075350,0.00029998,194570.28
49000,1.133483,0.00029998,194592.71
49100,1.136636,0.00029998,194614.98
49200,1.163509,0.00029998,194621.27
49300,1.128715,0.00029998,194633.11
49400,1.174033,0.00029998,194648.61
49500,1.105971,0.00029998,194661.63
49600,1.056158,0.00029998,194678.54
49700,1.118589,0.00029998,194690.13
49800,1.108247,0.00029998,194709.59
49900,1.089218,0.00029998,194727.73
50000,1.122351,0.00029998,194748.31
50100,1.134491,0.00029998,194756.90
50200,1.146595,0.00029998,194765.44
50300,1.100729,0.00029998,194778.71
50400,1.143689,0.00029998,194796.09
50500,1.096279,0.00029998,194813.21
50600,1.060437,0.00029998,194822.02
50700,1.132729,0.00029998,194844.20
50800,1.016123,0.00029998,194861.17
50900,1.090036,0.00029998,194875.71
51000,1.128543,0.00029998,194891.16
51100,1.070141,0.00029998,194902.87
51200,1.105365,0.00029998,194912.06
51300,1.120172,0.00029998,194923.90
51400,1.073658,0.00029998,194922.87
51500,1.082704,0.00029998,194934.95
51600,1.117579,0.00029998,194948.90
51700,1.141243,0.00029998,194963.33
51800,1.086053,0.00029998,194982.04
51900,1.105731,0.00029998,195002.08
52000,1.145540,0.00029998,195021.69
52100,1.067452,0.00029998,195041.23
52200,1.094768,0.00029998,195056.56
52300,1.159260,0.00029998,195072.22
52400,1.126768,0.00029998,195086.14
52500,1.077556,0.00029998,195100.81
52600,1.110819,0.00029998,195114.35
52700,1.066825,0.00029998,195130.54
52800,1.073527,0.00029998,195146.54
52900,1.118653,0.00029998,195164.42
53000,1.102012,0.00029998,195184.46
53100,1.085661,0.00029998,195204.75
53200,1.091089,0.00029998,195221.39
53300,1.092925,0.00029998,195231.36
53400,1.088601,0.00029998,195248.35
53500,1.076832,0.00029998,195257.92
53600,1.101058,0.00029998,195268.94
53700,1.087263,0.00029998,195277.99
53800,1.184582,0.00029998,195293.85
53900,1.189608,0.00029998,195311.65
54000,1.132136,0.00029998,195325.67
54100,1.082719,0.00029998,195338.85
54200,1.143950,0.00029998,195350.94
54300,1.132628,0.00029998,195365.55
54400,1.062659,0.00029998,195380.54
54500,1.170774,0.00029998,195390.77
54600,1.052206,0.00029998,195408.52
54700,1.041789,0.00029998,195423.81
54800,1.109869,0.00029998,195443.00
54900,1.136072,0.00029998,195459.14
55000,1.127613,0.00029998,195475.82
55100,1.065974,0.00029998,195494.93
55200,1.087758,0.00029998,195514.44
55300,1.065728,0.00029998,195522.16
55400,1.150767,0.00029998,195538.14
55500,1.089202,0.00029998,195550.92
55600,1.135302,0.00029998,195561.54
55700,1.053888,0.00029998,195583.18
55800,1.112095,0.00029998,195602.59
55900,1.088029,0.00029998,195614.27
56000,1.100643,0.00029998,195625.33
56100,1.105180,0.00029998,195641.41
56200,1.060856,0.00029998,195658.44
56300,1.101358,0.00029998,195677.80
56400,1.136495,0.00029998,195688.51
56500,1.060223,0.00029998,195702.46
56600,1.113766,0.00029998,195719.88
56700,1.053685,0.00029998,195736.22
56800,1.058609,0.00029998,195749.56
56900,1.070233,0.00029998,195761.24
57000,1.076805,0.00029998,195779.28
57100,1.088848,0.00029998,195793.95
57200,1.057453,0.00029998,195807.14
57300,1.152009,0.00029998,195821.93
57400,1.110376,0.00029998,195830.62
57500,1.121448,0.00029998,195838.88
57600,1.098396,0.00029998,195853.47
57700,1.112812,0.00029998,195868.86
57800,1.128895,0.00029998,195885.39
57900,1.087724,0.00029998,195896.15
58000,1.108713,0.00029998,195902.61
58100,1.088641,0.00029998,195913.20
58200,1.093113,0.00029998,195924.05
58300,1.070755,0.00029998,195940.94
58400,1.068600,0.00029998,195954.34
58500,1.079370,0.00029998,195976.47
58600,1.116328,0.00029998,195989.68
58700,1.055023,0.00029998,196005.62
58800,1.091743,0.00029998,196025.59
58900,1.073331,0.00029998,196043.23
59000,1.148199,0.00029998,196058.56
59100,1.069226,0.00029998,196075.38
59200,1.169575,0.00029998,196090.02
59300,1.076092,0.00029998,196107.37
59400,1.157380,0.00029998,196124.81
59500,1.133363,0.00029998,196135.22
59600,1.164567,0.00029998,196143.56
59700,1.061808,0.00029998,196159.94
59800,1.128666,0.00029998,196173.79
59900,1.108685,0.00029998,196188.54
60000,1.061000,0.00029998,196203.53
60100,1.055401,0.00029998,196220.60
60200,1.099454,0.00029997,196231.85
60300,1.086196,0.00029997,196242.35
60400,1.128792,0.00029997,196258.09
60500,1.097198,0.00029997,196267.59
60600,1.194340,0.00029997,196284.22
60700,1.110609,0.00029997,196301.84
60800,1.122586,0.00029997,196313.88
60900,1.057448,0.00029997,196328.50
61000,1.158447,0.00029997,196333.96
61100,1.097117,0.00029997,196343.04
61200,1.064731,0.00029997,196354.48
61300,1.072510,0.00029997,196361.90
61400,1.086184,0.00029997,196378.05
61500,1.064667,0.00029997,196384.95
61600,1.116984,0.00029997,196396.45
61700,1.155962,0.00029997,196406.43
61800,1.144186,0.00029997,196418.00
61900,1.080081,0.00029997,196435.24
62000,1.041062,0.00029997,196449.23
62100,1.043650,0.00029997,196458.39
62200,1.090278,0.00029997,196473.43
62300,1.075032,0.00029997,196486.17
62400,1.092781,0.00029997,196497.74
62500,1.140729,0.00029997,196510.87
62600,1.044672,0.00029997,196500.04
62700,1.058939,0.00029997,196511.48
62800,1.112592,0.00029997,196520.82
62900,1.114415,0.00029997,196527.27
63000,1.109256,0.00029997,196540.60
63100,1.122388,0.00029997,196548.79
63200,1.115611,0.00029997,196561.67
63300,1.085951,0.00029997,196574.08
63400,1.095509,0.00029997,196582.20
63500,1.138124,0.00029997,196590.66
63600,1.107029,0.00029997,196599.68
63700,1.124147,0.00029997,196612.45
63800,1.015384,0.00029997,196628.04
63900,1.071062,0.00029997,196639.58
64000,1.062756,0.00029997,196652.83
64100,1.065369,0.00029997,196667.12
64200,1.064800,0.00029997,196679.57
64300,1.066323,0.00029997,196692.84
64400,1.132561,0.00029997,196707.54
64500,1.152308,0.00029997,196714.41
64600,1.101804,0.00029997,196723.32
64700,1.122639,0.00029997,196732.09
64800,1.056145,0.00029997,196747.47
64900,1.091123,0.00029997,196758.82
65000,1.049835,0.00029997,196772.21
65100,1.109572,0.00029997,196783.74
65200,1.133303,0.00029997,196794.61
65300,1.098961,0.00029997,196804.28
65400,1.123351,0.00029997,196816.45
65500,1.099998,0.00029997,196830.57
65600,1.014015,0.00029997,196838.85
65700,1.019876,0.00029997,196850.80
65800,1.031438,0.00029997,196857.29
65900,1.086385,0.00029997,196867.96
66000,1.011422,0.00029997,196880.62
66100,1.128676,0.00029997,196891.82
66200,1.115099,0.00029997,196903.75
66300,1.077868,0.00029997,196917.27
66400,1.155702,0.00029997,196929.18
66500,1.034688,0.00029997,196938.53
66600,1.063607,0.00029997,196944.16
66700,1.004067,0.00029997,196954.44
66800,1.129005,0.00029997,196961.51
66900,1.083211,0.00029997,196967.63
67000,1.079110,0.00029997,196974.97
67100,1.053808,0.00029997,196980.53
67200,1.031652,0.00029997,196989.19
67300,1.138733,0.00029997,196996.89
67400,1.088792,0.00029997,197002.24
67500,1.130396,0.00029997,197009.45
67600,1.107446,0.00029997,197018.20
67700,1.132165,0.00029997,197025.17
67800,1.066013,0.00029997,197029.69
67900,1.080268,0.00029997,197032.00
68000,1.113346,0.00029997,197032.67
68100,1.130433,0.00029997,197042.59
68200,1.029629,0.00029997,197050.31
68300,1.144197,0.00029997,197059.46
68400,1.089392,0.00029997,197073.40
68500,1.070653,0.00029997,197087.30
68600,1.131231,0.00029997,197102.17
68700,1.092401,0.00029997,197115.94
68800,1.098293,0.00029997,197128.16
68900,1.103895,0.00029997,197136.79
69000,1.127361,0.00029997,197151.25
69100,1.046996,0.00029997,197163.16
69200,1.107394,0.00029997,197168.74
69300,1.073010,0.00029997,197181.89
69400,1.100642,0.00029997,197192.82
69500,1.128809,0.00029997,197196.66
69600,1.117647,0.00029997,197208.48
69700,1.077947,0.00029997,197220.24
69800,1.023560,0.00029997,197231.79
69900,1.113269,0.00029997,197242.07
70000,1.042630,0.00029997,197255.92
70100,1.100679,0.00029997,197268.22
70200,1.048625,0.00029997,197281.31
70300,1.065462,0.00029997,197293.16
70400,1.181015,0.00029997,197304.87
70500,1.156815,0.00029997,197313.13
70600,1.062614,0.00029997,197323.19
70700,1.056146,0.00029997,197328.40
70800,1.088121,0.00029996,197338.11
70900,1.100145,0.00029996,197345.76
71000,1.060212,0.00029996,197355.26
71100,1.035373,0.00029996,197364.27
71200,1.089957,0.00029996,197374.26
71300,1.057337,0.00029996,197387.21
71400,1.115031,0.00029996,197398.81
71500,1.077176,0.00029996,197410.73
71600,1.022648,0.00029996,197410.96
71700,1.097063,0.00029996,197424.63
71800,1.105597,0.00029996,197432.15
71900,1.100859,0.00029996,197436.76
72000,1.077808,0.00029996,197443.99
72100,1.092145,0.00029996,197454.26
72200,1.128292,0.00029996,197465.80
72300,1.076075,0.00029996,197472.23
72400,1.019283,0.00029996,197480.27
72500,1.138902,0.00029996,197492.52
72600,1.096722,0.00029996,197500.08
72700,1.014753,0.00029996,197507.97
72800,1.117683,0.00029996,197517.16
72900,1.122396,0.00029996,197524.44
73000,1.105196,0.00029996,197533.93
73100,1.077681,0.00029996,197541.27
73200,1.058856,0.00029996,197550.02
73300,1.122635,0.00029996,197557.81
